CommitId;RefactoringType;RefactoringDetail
40e41d11d7847d660bba6691859b0506514bd0ac;Rename Class;Rename Class	net.engio.mbassy.ConditionalHandlers renamed to net.engio.mbassy.ConditionalHandlerTest
40e41d11d7847d660bba6691859b0506514bd0ac;Rename Variable;Rename Variable	publishAndCheck : Runnable to asynchronousPublication : Runnable in method public testExceptionInHandlerInvocation() : void in class net.engio.mbassy.SyncAsyncTest
40e41d11d7847d660bba6691859b0506514bd0ac;Rename Attribute;Rename Attribute	PublicationError : String to PublicationErrorHandlers : String in class net.engio.mbassy.bus.common.Properties.Handler
